cohort,discovery_date,symbol,industry,theme_strength,rs_at_discovery,consec_accel,sales_yoy,entry_price,nifty_entry,rs_current,rs_max,migrated,days_to_migrate,ret_pct,ret_max_pct,rel_ret_pct,ret_3m,ret_6m,last_update
B,2026-06-08,POLYMED,Healthcare,86,15.0,3,21.3,1458.8,23242.1,15.4,15.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,GRMOVER,Unmapped,50,3.0,3,105.2,98.33,23242.1,2.9,3.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,HEROMOTOCO,Automobile and Auto Components,71,18.0,3,30.2,4855.4,23242.1,18.4,18.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,RSYSTEMS,Unmapped,50,3.0,3,30.1,247.35,23242.1,2.9,3.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,ASKAUTOLTD,Automobile and Auto Components,71,37.0,3,34.9,428.8,23242.1,37.5,37.5,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,POONAWALLA,Financial Services,48,24.0,3,81.4,383.7,23242.1,23.9,24.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,MUTHOOTFIN,Financial Services,48,21.0,3,65.2,2991.1,23242.1,21.0,21.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,JUBLPHARMA,Healthcare,86,41.0,3,18.7,971.95,23242.1,41.1,41.1,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,JIOFIN,Financial Services,48,17.0,2,106.7,234.21,23242.1,17.0,17.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,M&M,Automobile and Auto Components,71,24.0,2,29.1,2990.1,23242.1,23.5,24.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,RGL,Unmapped,50,30.0,3,50.4,100.07,23242.1,29.5,30.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,HITECH,Unmapped,50,38.0,3,101.6,86.28,23242.1,37.8,38.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,UPL,Chemicals,76,32.0,3,17.7,628.4,23242.1,32.0,32.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,ENDURANCE,Automobile and Auto Components,71,53.0,3,37.9,2518.0,23242.1,53.4,53.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,BORORENEW,Capital Goods,90,50.0,3,17.6,525.05,23242.1,50.5,50.5,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,LGBBROSLTD,Unmapped,50,18.0,3,21.8,1479.6,23242.1,18.2,18.2,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SUBROS,Capital Goods,90,29.0,2,15.6,730.0,23242.1,28.7,29.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SHAREINDIA,Financial Services,48,22.0,2,74.1,132.84,23242.1,22.4,22.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SHARDAMOTR,Unmapped,50,26.0,3,29.6,796.05,23242.1,25.8,26.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,MAZDOCK,Capital Goods,90,48.0,2,21.3,2435.3,23242.1,48.1,48.1,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,BCG,Unmapped,50,42.0,3,61.8,10.73,23242.1,41.9,42.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,JAMNAAUTO,Automobile and Auto Components,71,59.0,3,31.7,119.41,23242.1,58.6,59.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,IIFL,Financial Services,48,39.0,3,42.5,508.05,23242.1,39.2,39.2,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,GREAVESCOT,Capital Goods,90,57.0,2,21.6,190.23,23242.1,56.9,57.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,KALYANKJIL,Consumer Durables,29,9.0,2,66.2,355.05,23242.1,8.7,9.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,PNGJL,Consumer Durables,29,37.0,3,123.2,543.9,23242.1,37.3,37.3,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,CRISIL,Financial Services,48,40.0,3,30.1,3859.2,23242.1,40.0,40.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SIRCA,Unmapped,50,31.0,2,32.7,418.65,23242.1,30.9,31.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,IGARASHI,Unmapped,50,32.0,3,19.3,375.05,23242.1,31.6,32.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,TAJGVK,Unmapped,50,29.0,2,27.2,330.5,23242.1,29.4,29.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,ONEPOINT,Unmapped,50,60.0,3,43.3,53.99,23242.1,59.6,60.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,METROBRAND,Unmapped,50,42.0,3,20.2,999.5,23242.1,41.7,42.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,DCAL,Unmapped,50,22.0,2,18.9,187.92,23242.1,21.8,22.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,POCL,Unmapped,50,56.0,2,78.4,1234.1,23242.1,56.2,56.2,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,CDSL,Financial Services,48,16.0,2,17.4,1212.3,23242.1,15.9,16.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,ETERNAL,Consumer Services,14,26.0,3,34.7,245.65,23242.1,26.3,26.3,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SALZERELEC,Unmapped,50,43.0,2,26.1,645.95,23242.1,42.7,43.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,SHRIRAMPPS,Unmapped,50,59.0,2,57.1,86.58,23242.1,59.0,59.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,DHANUKA,Unmapped,50,40.0,2,20.1,1087.1,23242.1,39.7,40.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,PRESTIGE,Realty,10,27.0,2,166.6,1354.0,23242.1,27.1,27.1,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,DODLA,Unmapped,50,36.0,2,18.0,1080.3,23242.1,36.3,36.3,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,NELCO,Unmapped,50,32.0,2,17.3,699.8,23242.1,32.2,32.2,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,LTF,Financial Services,48,37.0,2,18.6,265.55,23242.1,37.0,37.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,BALMLAWRIE,Unmapped,50,54.0,2,22.4,173.02,23242.1,53.6,54.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,CENTURYPLY,Consumer Durables,29,47.0,3,24.5,749.7,23242.1,47.5,47.5,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,HATSUN,Unmapped,50,42.0,2,17.6,914.7,23242.1,41.9,42.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,JKPAPER,Forest Materials,50,57.0,3,17.2,355.7,23242.1,57.4,57.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,LTM,Information Technology,5,4.0,3,15.6,3999.9,23242.1,4.5,4.5,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,FDC,Unmapped,50,54.0,2,18.9,393.5,23242.1,53.9,54.0,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,AADHARHFC,Financial Services,48,56.0,2,18.2,467.85,23242.1,56.4,56.4,False,,0.0,0.0,0.0,,,2026-06-08
B,2026-06-08,TANLA,Information Technology,5,51.0,3,15.0,518.45,23242.1,51.0,51.0,False,,0.0,0.0,0.0,,,2026-06-08
